Distance_(pixels),Gray_Value
1174,238.815
1175,238.349
1176,237.036
1177,236.458
1178,234.367
1179,233.906
1180,231.740
1181,231.063
1182,228.125
1183,227.491
1184,224.020
1185,223.283
1186,219.694
1187,219.839
1188,215.913
1189,216.202
1190,213.071
1191,213.175
1192,212.120
1193,211.613
1194,210.584
1195,210.667
1196,210.777
1197,210.792
1198,210.892
1199,211.703
1200,212.381
1201,214.213
1202,213.716
1203,217.280
1204,216.689
1205,220.403
1206,220.820
1207,223.740
1208,224.858
1209,228.232
1210,229.325
1211,232.220
1212,232.674
1213,235.178
1214,235.686
1215,237.471
1216,238.611
1217,239.490
1218,240.401
1219,241.483
1220,241.887
1221,242.765
1222,243.215
1223,243.664
1224,243.916
1225,243.836
1226,243.809
1227,243.617
1228,243.608
1229,243.346
1230,243.014
1231,242.553
1232,241.559
1233,240.842
1234,239.487
1235,238.820
1236,237.376
1237,236.521
1238,234.831
1239,234.171
1240,231.758
1241,231.541
1242,228.008
1243,227.959
1244,224.765
1245,224.358
1246,220.511
1247,220.373
1248,216.614
1249,216.705
1250,212.239
1251,213.025
1252,209.054
1253,208.809
1254,206.389
1255,205.430
1256,204.127
1257,203.168
1258,202.542
1259,202.008
1260,201.723
1261,201.757
1262,202.191
1263,202.477
1264,203.321
1265,204.550
1266,205.177
1267,207.536
1268,207.384
1269,210.722
1270,211.045
1271,213.903
1272,214.720
1273,217.789
1274,218.405
1275,221.513
1276,221.779
1277,225.437
1278,225.947
1279,229.125
1280,230.330
1281,232.409
1282,233.760
1283,235.872
1284,236.866
1285,238.677
1286,239.949
1287,241.431
1288,242.638
1289,243.354
1290,244.851
1291,245.966
1292,247.242
1293,248.173
1294,249.110
1295,249.897
1296,250.490
1297,250.844
1298,251.248
1299,251.532
1300,251.774
1301,252.075
1302,252.516
1303,252.608
1304,252.725
1305,252.796
1306,252.906
1307,252.977
1308,252.955
1309,252.975
1310,252.907
1311,253.080
1312,253.166
1313,253.148
1314,253.154
1315,253.127
1316,253.026
1317,252.893
1318,252.783
1319,252.696
1320,252.462
1321,252.210
1322,251.914
1323,251.688
1324,251.477
1325,251.201
1326,250.775
1327,250.347
1328,249.582
1329,248.876
1330,248.075
1331,246.916
1332,246.240
1333,245.084
1334,244.168
1335,243.260
1336,242.054
1337,241.079
1338,239.381
1339,238.624
1340,237.060
1341,236.117
1342,234.317
1343,233.419
1344,231.034
1345,230.304
1346,227.482
1347,227.130
1348,223.915
1349,223.379
1350,220.367
1351,219.670
1352,216.095
1353,215.047
1354,210.855
1355,209.956
1356,205.213
1357,204.082
1358,197.483
1359,196.770
1360,190.918
1361,189.137
1362,183.513
1363,182.483
1364,178.216
1365,176.795
1366,174.542
1367,173.335
1368,172.207
1369,171.229
1370,170.183
1371,168.981
1372,168.318
1373,167.438
1374,166.528
1375,165.605
1376,164.561
1377,163.634
1378,162.710
1379,161.927
1380,161.301
1381,160.188
1382,159.305
1383,158.406
1384,157.716
1385,156.821
1386,156.073
1387,155.339
1388,154.519
1389,153.835
1390,153.175
1391,152.487
1392,151.435
1393,150.713
1394,149.806
1395,148.986
1396,148.120
1397,147.102
1398,146.160
1399,145.408
1400,144.502
1401,143.863
1402,142.884
1403,142.048
1404,141.230
1405,140.468
1406,139.662
1407,138.831
1408,137.694
1409,136.999
1410,136.382
1411,135.668
1412,134.919
1413,134.026
1414,133.326
1415,132.376
1416,131.346
1417,130.395
1418,129.366
1419,128.434
1420,127.446
1421,126.399
1422,124.941
1423,123.686
1424,121.519
1425,120.437
1426,119.053
1427,117.722
1428,116.259
1429,114.598
1430,113.004
1431,111.704
1432,110.302
1433,108.566
1434,106.726
1435,105.506
1436,104.398
1437,103.258
1438,101.826
1439,100.575
1440,98.703
1441,97.557
1442,96.224
1443,95.269
1444,94.194
1445,92.897
1446,91.392
1447,89.935
1448,87.946
1449,87.036
1450,85.606
1451,84.408
1452,83.253
1453,82.328
1454,81.202
1455,80.410
1456,78.903
1457,78.022
1458,76.891
1459,76.114
1460,74.956
1461,73.855
1462,72.612
1463,71.793
1464,70.146
1465,69.461
1466,68.582
1467,67.886
1468,67.278
1469,66.725
1470,66.201
1471,65.573
1472,64.410
1473,63.729
1474,63.066
1475,62.321
1476,61.704
1477,60.934
1478,60.185
1479,59.516
1480,58.529
1481,57.818
1482,57.112
1483,56.324
1484,55.729
1485,55.200
1486,54.559
1487,53.903
1488,53.056
1489,52.522
1490,51.873
1491,51.278
1492,50.587
1493,49.792
1494,49.103
1495,48.345
1496,47.478
1497,46.732
1498,46.170
1499,45.366
1500,44.832
1501,44.148
1502,43.566
1503,42.968
1504,42.012
1505,41.468
1506,41.066
1507,40.703
1508,40.305
1509,39.747
1510,39.247
1511,38.700
1512,38.077
1513,37.521
1514,36.994
1515,36.340
1516,35.915
1517,35.513
1518,35.083
1519,34.703
1520,34.158
1521,33.732
1522,33.382
1523,32.997
1524,32.457
1525,31.989
1526,31.343
1527,30.993
1528,30.287
1529,29.967
1530,29.489
1531,29.219
1532,28.854
1533,28.622
1534,28.350
1535,28.023
1536,27.412
1537,27.036
1538,26.648
1539,26.376
1540,26.069
1541,25.659
1542,25.335
1543,25.082
1544,24.463
1545,24.249
1546,24.038
1547,23.737
1548,23.384
1549,23.155
1550,22.994
1551,22.687
1552,22.353
1553,22.153
1554,21.965
1555,21.756
1556,21.421
1557,21.195
